time,seconds,CO,ChipTemp,PM,Flow,FlueTemp,TC,F1Flow,DilFlow,CO2,PM_RH,datenumbers,phase,CO_bkg,PM_bkg,CO2_bkg
yyyymmdd hhmmss,s,ppm,degC,Mm^-1,,degC,degC,ccm,ccm,ppm,%,date,text,ppm,Mm^-1,ppm
20230605 13:21:43,7825.0,134.45689152360515,28.608,32.14583090128755,14517.0,26.538240000000002,345.3,2703.206,2601.0240000000003,5076.005364806867,38.0,19513.556747685187,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:45,7827.0,134.80024152360514,28.60416,31.334630901287554,14710.0,26.5344,345.3,2706.55,2632.488,5045.005364806867,38.0,19513.556770833333,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:47,7829.0,134.49122652360515,28.59264,30.793830901287556,14635.0,26.55744,345.1,2702.788,2643.4320000000002,5037.005364806867,38.0,19513.556793981483,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:49,7831.0,133.80452652360515,28.60416,28.833430901287556,14624.0,26.54976,345.1,2706.132,2589.1680000000006,5061.005364806867,38.0,19513.55681712963,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:51,7833.0,133.35817152360514,28.60416,33.565430901287556,14718.0,26.55744,345.0,2701.534,2657.5679999999998,5037.005364806867,38.0,19513.55684027778,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:53,7835.0,132.77447652360513,28.60416,31.131830901287557,14618.0,26.56128,344.70000000000005,2704.46,2655.744,5076.005364806867,38.0,19513.556863425925,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:55,7837.0,132.77447652360513,28.62336,31.199430901287556,14624.0,26.545920000000002,344.3,2701.534,2681.7360000000003,5084.005364806867,38.0,19513.556886574075,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:57,7839.0,132.80881152360516,28.627200000000002,27.887030901287552,14622.0,26.5536,344.0,2704.0420000000004,2637.96,5093.005364806867,38.0,19513.55690972222,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:21:59,7841.0,132.98048652360515,28.61568,29.982630901287557,14628.0,26.56128,343.8,2701.1160000000004,2655.288,5108.005364806867,38.0,19513.55693287037,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:01,7843.0,132.91181652360515,28.631040000000002,31.06423090128756,14537.0,26.5536,343.8,2707.8040000000005,2636.592,5085.005364806867,38.0,19513.556956018518,none,-1.37443152360515,2.803369098712446,869.994635193133
20230605 13:22:03,7845.0,132.63713652360514,28.63872,27.887030901287552,14439.0,26.56128,343.8,2703.206,2640.2400000000002,5116.005364806867,38.0,19513.556979166668,none,-1.37443152360515,2.803369098712446,869.994635193133
