time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda
20230727 11:23:44,612.0,-0.29906,616.0,34020.0,0.2998,21.0713889,22.0,51.1,22.3,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:23:48,616.0,-0.29906,621.0,34290.0,0.2997,21.0713889,22.0,51.1,22.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:52,620.0,-0.26758,603.0,34695.0,0.2891,21.0637915,22.0,51.1,22.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:23:56,624.0,-0.3148,597.0,34425.0,0.2953,21.0637915,22.0,51.1,22.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:24:00,628.0,-0.3148,610.0,34290.0,0.2925,21.067590199999998,22.0,51.1,22.4,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:24:04,632.0,-0.29906,594.0,34425.0,0.2907,21.0637915,22.0,51.1,22.4,1533.5424,1.2845056,3.9,3.7,3.5,2.9
20230727 11:24:08,636.0,-0.26758,603.0,34155.0,0.2759,21.0599928,22.1,51.1,22.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:24:12,640.0,-0.2361,597.0,34020.0,0.2805,21.0637915,22.1,51.1,22.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:24:16,644.0,-0.25184,597.0,34020.0,0.2799,21.0599928,22.1,51.1,22.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:24:20,648.0,-0.3148,600.0,34290.0,0.2746,21.0599928,22.1,51.0,22.4,1533.5424,1.2845056,3.8,3.7,3.5,2.9
20230727 11:24:24,652.0,-0.28332,607.0,34155.0,0.3064,21.0637915,22.1,51.0,22.4,1533.5424,1.2845056,3.9,3.7,3.5,3.0
